MTS25	Tensile Strength
2.7934	453.4609
2.7973	452.9736
2.8023	453.2668
2.8074	453.4216
2.8116	453.2092
2.8174	453.965
2.8213	453.0775
2.8251	452.7487
2.8298	453.0507
2.8351	453.7811
2.8394	453.2872
2.844	453.2914
2.8491	453.7283
2.8532	453.1432
2.8586	453.8447
2.8636	453.8093
2.8672	452.9877
2.8713	452.956
2.8764	453.6391
2.8815	453.7461
2.8856	453.3336
2.8904	453.5904
2.8951	453.7128
2.8992	453.4008
2.9052	454.116
2.9092	453.597
2.9129	453.0223
2.9176	453.4831
2.9232	453.9993
2.9273	453.6596
2.9318	453.661
2.9368	453.9708
2.9412	453.7199
2.946	453.9595
2.9512	454.0281
2.9549	453.4499
2.9589	453.3661
2.9642	453.9026
2.9693	454.0438
2.9733	453.7838
2.9781	453.9066
2.9831	453.9666
2.9873	453.8283
2.9928	454.2476
2.997	453.9045
3.0007	453.4941
3.0056	453.8236
3.0109	454.1488
3.0153	453.9554
3.0197	453.898
3.0248	454.142
3.0293	453.9783
3.0341	454.1322
3.0392	454.2183
3.043	453.8253
3.0472	453.7306
3.0523	454.1131
3.0574	454.2096
3.0615	453.9702
3.0662	454.066
3.0715	454.2173
3.0756	454.0854
3.0811	454.338
3.0852	454.0648
3.089	453.7915
3.0935	454.0044
3.0992	454.2966
3.1034	454.133
3.1077	454.0801
3.1127	454.2661
3.1172	454.144
3.1218	454.207
3.1272	454.3402
3.131	454.0375
3.1352	453.9177
3.14	454.238
3.1454	454.3553
3.1494	454.1302
3.154	454.2083
3.159	454.3579
3.1635	454.2314
3.1687	454.42
3.1733	454.2543
3.1769	454.0387
3.1815	454.1335
3.1868	454.3562
3.1914	454.2663
3.1957	454.1992
3.2008	454.3943
3.2053	454.3329
3.2102	454.3651
3.2152	454.4607
3.2192	454.1842
3.223	454.0946
3.2282	454.3277
3.2333	454.4837
3.2373	454.2551
3.2421	454.3467
3.2473	454.4779
3.2517	454.3717
3.2568	454.522
3.2614	454.3832
3.2652	454.2051
3.2695	454.2496
3.2748	454.4667
3.2793	454.4233
3.2836	454.3308
3.2883	454.4619
3.293	454.4351
3.2977	454.4368
3.3035	454.7798
3.307	454.3374
3.3112	454.2555
3.3161	454.4376
3.3212	454.6263
3.3253	454.4089
3.3299	454.4232
3.335	454.6757
3.3396	454.5344
3.3447	454.8007
3.3492	454.5742
3.353	454.3471
3.3575	454.3667
3.3627	454.6598
3.3673	454.5765
3.3717	454.4917
3.3764	454.5713
3.3813	454.6385
3.3858	454.6139
3.3915	455.0005
3.3951	454.4813
3.3994	454.4178
3.4042	454.5977
3.4094	454.8232
3.4135	454.5593
3.4181	454.5163
3.4233	454.8683
3.4277	454.6368
3.433	454.9865
3.4377	454.7808
3.4413	454.4521
3.4457	454.4926
3.4508	454.7563
3.4558	454.8419
3.46	454.6338
3.4648	454.6789
3.4698	454.883
3.4742	454.7462
3.48	455.275
3.4837	454.6589
3.4877	454.5396
3.4925	454.7352
3.4978	455.0356
3.5019	454.7504
3.5063	454.6595
3.5118	455.1061
3.5158	454.7459
3.5212	455.2249
3.526	454.997
3.5296	454.6239
3.5342	454.6748
3.5393	454.9448
3.5441	454.9919
3.5483	454.7961
3.5529	454.8475
3.5579	455.0717
3.5624	454.965
3.5682	455.4768
3.5718	454.8515
3.576	454.6702
3.5806	454.8885
3.586	455.2471
3.5901	454.896
3.5945	454.8599
3.5997	455.2725
3.6039	454.9337
3.6092	455.3851
3.6141	455.2485
3.6176	454.7895
3.622	454.8085
3.6271	455.1841
3.6322	455.2845
3.6362	454.9636
3.6406	454.9993
3.6458	455.2698
3.6501	455.1381
3.656	455.6773
3.6598	455.0547
3.6636	454.8363
3.6685	455.0793
3.6739	455.4737
3.6782	455.1487
3.6825	455.1344
3.6878	455.4151
3.6918	455.1073
3.6973	455.6031
3.7021	455.4753
3.7057	454.9443
3.71	454.9154
3.7153	455.3832
3.7203	455.4502
3.7243	455.1797
3.7291	455.3316
3.7339	455.4287
3.7382	455.3088
3.7441	455.7225
3.7478	455.2621
3.7517	454.925
3.7565	455.2419
3.7618	455.6502
