MTS25	Tensile Strength
5.4973	361.8329
5.5019	361.8548
5.5075	362.197
5.5121	362.0715
5.5175	362.331
5.5221	361.9627
5.5258	361.7262
5.5303	361.8055
5.5357	362.1357
5.5406	362.0488
5.5447	361.8343
5.5497	362.0567
5.5549	362.1694
5.5599	362.2535
5.5656	362.393
5.569	361.8279
5.5732	361.7938
5.5782	362.0176
5.5838	362.427
5.588	362.0277
5.5925	361.9937
5.598	362.3924
5.6025	362.1247
5.6078	362.4333
5.6125	362.17
5.6164	361.8509
5.6209	361.9917
5.626	362.2497
5.6313	362.2657
5.6354	362.0837
5.6405	362.3462
5.6457	362.3283
5.6505	362.3527
5.6562	362.59
5.6601	362.04
5.6638	361.9664
5.6691	362.2033
5.6745	362.522
5.6789	362.2002
5.6832	362.1234
5.689	362.6267
5.6933	362.2411
5.6988	362.6039
5.7038	362.4333
5.7076	362.0428
5.7122	362.123
5.7175	362.4794
5.7224	362.4799
5.7266	362.185
5.7316	362.4427
5.7367	362.5115
5.7412	362.3593
5.7475	362.8617
5.7513	362.1752
