MTS25	Tensile Strength
3.6295	381.2961
3.6338	381.2201
3.6378	381.0894
3.6422	381.2229
3.6468	381.3018
3.6511	381.3988
3.6566	381.808
3.6599	381.2226
3.6639	381.1203
3.6684	381.3498
3.6735	381.7214
3.6771	381.3901
3.6816	381.4197
3.6865	381.8264
3.6905	381.5618
3.6957	382.0922
3.6998	381.8114
3.7034	381.3946
3.7074	381.4394
3.7126	381.9499
3.7171	381.9639
3.7211	381.7572
3.7257	381.927
3.7303	382.0148
3.7346	382.0837
3.7399	382.6288
3.7433	381.897
3.747	381.7441
3.7518	382.0426
3.7571	382.5444
3.7609	382.0857
3.7651	382.0948
3.7702	382.6728
3.7741	382.1625
3.7793	382.9515
3.7837	382.6723
3.7872	382.0842
3.7913	382.1138
3.7964	382.834
3.8008	382.826
3.8047	382.3924
3.8094	382.8854
3.8139	382.8498
3.8182	382.9101
3.8238	383.6966
3.8271	382.7411
3.8307	382.3236
3.8356	382.9434
3.8408	383.5317
3.8448	383.0384
3.849	383.0988
3.854	383.5996
3.8577	383.0366
3.863	383.8635
3.8677	383.776
3.8709	383.0072
3.8752	383.1505
3.8804	383.8251
3.8851	383.8502
3.8892	383.5477
3.8939	383.7953
3.8984	383.8522
3.9026	383.7401
3.9083	384.3155
3.9119	383.7897
3.9155	383.3784
3.9201	383.7764
3.9253	384.2108
3.9293	384.0305
3.9336	384.0311
3.9387	384.2391
3.9425	384.0223
3.9476	384.412
3.9526	384.358
3.9558	383.8998
3.96	383.962
3.965	384.267
3.9699	384.4858
3.9737	384.1982
3.9784	384.3704
3.9829	384.4112
3.987	384.2679
3.9927	384.8568
3.9963	384.3286
4.0001	384.1577
4.0048	384.3862
4.0099	384.7961
4.014	384.5933
4.0182	384.5766
4.0232	384.8125
4.0271	384.6685
4.0319	384.8214
4.0369	384.88
4.0402	384.5311
4.0445	384.5614
4.0493	384.8063
4.0543	384.9868
4.0582	384.7672
4.0628	384.8737
4.0676	384.9727
4.0717	384.8524
4.0772	385.2073
4.0813	384.9124
4.0847	384.7581
4.0893	384.8853
4.0943	385.1478
4.0986	385.0085
4.1026	384.9599
4.108	385.243
4.1119	385.0703
4.1166	385.1949
4.1216	385.2972
4.1251	384.9769
4.1291	384.9742
4.134	385.2297
4.1391	385.3615
4.1428	385.1306
4.1471	385.1764
4.1522	385.4006
4.1564	385.3344
4.1617	385.6342
4.1656	385.3259
4.1693	385.1326
4.1738	385.2862
4.1789	385.5535
4.183	385.3963
4.1869	385.2782
4.1919	385.6076
4.1967	385.5995
4.2015	385.7668
4.206	385.7104
4.2095	385.355
4.2135	385.3279
4.2185	385.6139
4.2235	385.7883
4.2271	385.55
4.2313	385.5648
4.2366	385.9187
4.241	385.881
4.2464	386.3266
4.2501	385.7028
4.2538	385.5634
4.258	385.6205
4.2635	386.172
4.2676	385.8674
4.2716	385.7628
4.2761	385.9274
4.2807	386.0479
4.2854	386.2665
4.2902	386.4034
4.2939	385.8434
4.298	385.8247
4.3026	386.192
4.3076	386.541
4.3113	386.1202
4.3156	386.0952
4.3209	386.7035
4.325	386.5206
4.3302	387.2562
4.3339	386.3835
4.3377	386.072
4.3421	386.2567
4.3468	386.7961
4.3514	386.7892
4.3554	386.5664
4.3602	387.0291
4.3645	386.9338
4.3689	387.1181
4.3742	387.5417
4.3776	386.6862
4.3817	386.5594
4.3863	387.0682
4.3914	387.4821
4.3952	387.091
4.3994	387.0943
4.4048	387.6253
4.4084	387.3049
4.4136	387.86
4.4179	387.4988
4.4213	387.0493
4.4256	387.295
4.4307	387.6237
4.435	387.629
4.439	387.4283
4.4437	387.7487
4.4482	387.7904
4.4527	387.9349
4.458	388.4544
4.4612	387.5158
4.4653	387.4497
4.4697	387.7709
4.4751	388.3412
4.4785	387.8176
4.4829	387.7992
4.4881	388.4929
