MTS25	Tensile stress
2.5866	461.3048
2.5903	460.5657
2.5951	460.5833
2.6006	461.0914
2.6059	461.2086
2.6102	460.7057
2.6153	460.9346
2.6205	461.0318
2.6248	460.7315
2.6311	461.4221
2.6354	460.771
2.6399	460.4214
2.6447	460.6833
2.6505	461.2236
2.6551	460.7197
2.6598	460.6711
2.6655	461.1325
2.6698	460.6257
2.6755	461.139
2.6808	461.0969
2.685	460.3062
2.6893	460.2884
2.695	460.7112
2.7004	460.9947
2.7046	460.5693
2.7099	460.6868
2.7151	460.7021
2.7195	460.505
2.7258	461.303
2.7302	460.5171
2.7344	460.0732
2.7395	460.3564
2.7451	460.7982
2.7499	460.5078
2.7548	460.4016
2.7602	460.709
2.7649	460.3383
2.7702	460.5567
2.7758	460.706
2.7799	459.999
2.7844	459.9484
2.7898	460.2948
2.7952	460.6147
2.7995	460.0667
2.8047	460.1668
2.81	460.4018
2.8147	460.095
2.8208	460.621
2.8251	460.0847
2.8295	459.8506
2.8344	459.9662
2.84	460.3191
2.8446	460.0036
2.8493	459.8883
2.855	460.2754
2.8596	459.9718
2.8649	460.0756
2.8706	460.2034
2.8746	459.7979
2.8791	459.7532
2.8844	459.9
2.8901	460.0552
2.8943	459.8093
2.8991	459.8117
2.9048	459.9887
2.9095	459.8558
2.9151	460.1021
2.92	459.8238
2.9242	459.4352
2.9291	459.7008
2.9349	459.8611
2.9397	459.7668
2.9443	459.4597
2.9496	459.8212
2.9549	459.8091
2.9603	459.8581
2.9656	459.8052
2.9698	459.1255
2.9743	459.0178
2.9798	459.3772
2.9854	459.7616
2.9895	459.1335
2.9944	459.0982
3.0002	459.7121
3.0048	459.357
3.0111	459.837
3.0155	459.0881
3.0198	458.6359
3.0245	458.6957
3.0302	459.2409
3.0352	459.0444
3.0398	458.7704
3.0445	458.9244
3.0499	458.9816
3.055	459.0536
3.0607	459.157
3.065	458.4792
3.0693	458.3044
3.0743	458.6026
3.0801	459.0411
3.0845	458.4265
3.0893	458.3268
3.0951	458.8831
3.0999	458.5515
3.1061	458.9919
3.1106	458.2429
3.1148	457.7111
3.1194	457.7584
3.125	458.249
3.1302	458.1773
3.1347	457.8565
3.14	458.0613
3.1451	457.9499
3.1504	457.9493
3.1562	458.3339
3.1604	457.6389
3.1649	457.5538
3.17	457.662
3.1758	457.873
3.1803	457.6223
3.1848	457.5641
3.1907	457.6934
3.1951	457.5384
3.201	457.716
3.206	457.5435
3.2101	457.3419
3.2149	457.3679
3.2204	457.4745
3.2257	457.4459
3.2302	457.3669
3.2356	457.3963
3.2407	457.3817
3.2457	457.3674
3.2517	457.4733
3.2558	456.9225
3.2604	456.5435
3.2656	456.9586
3.2713	457.3395
3.2758	456.8316
3.2806	456.5999
3.2865	457.1873
3.2909	456.421
3.2969	457.1904
3.3019	456.5172
3.3061	455.6254
3.3108	455.6528
3.3165	456.2376
3.3217	456.1445
3.3263	455.6312
3.3313	455.818
3.3366	455.7651
3.3416	455.7206
3.3478	456.2802
3.3521	455.3094
3.3565	455.1288
3.3616	455.2837
3.3672	455.4889
3.3719	455.1967
3.3765	455.1047
3.3822	455.3716
3.387	455.0921
3.393	455.401
3.3984	455.0828
3.4024	454.4354
3.4071	454.4153
3.4127	454.7388
3.4182	454.7358
3.4227	454.4297
3.4277	454.434
3.4333	454.458
3.4384	454.4149
3.4447	454.6497
3.449	454.2132
3.4535	453.8968
3.4585	454.1116
3.4645	454.3381
3.4693	454.0143
3.474	453.8664
3.4799	454.1731
3.4847	453.5431
3.4906	454.1572
3.4959	453.6915
3.5002	452.9084
3.505	452.8202
3.5105	453.223
3.516	453.1964
3.5207	452.8174
3.526	452.9005
3.5313	452.8026
3.5362	452.6242
3.5428	453.13
3.5471	451.9087
3.5516	451.4614
3.5569	451.7599
3.5628	452.3134
3.5675	451.5858
3.5726	451.4877
3.5782	451.648
3.5826	451.2546
3.5887	451.6026
3.5947	451.4356
3.599	450.9119
3.6037	450.8132
3.6094	451.164
3.6151	451.1353
3.6198	450.7153
3.6251	450.7787
3.6306	450.7136
3.6354	450.5521
3.6419	451.0566
3.6469	450.374
3.6513	450.0108
3.6567	450.1919
3.6624	450.4247
3.6675	450.071
3.6727	449.9387
3.6784	450.1165
3.6833	449.6868
3.6891	449.9461
3.695	449.7801
3.6992	449.1937
3.7044	449.1456
3.7097	449.4107
3.7155	449.446
3.7203	449.0344
3.7258	449.0942
3.7311	448.9452
3.7359	448.7075
3.7425	449.1679
3.7472	448.4178
3.7516	447.7961
3.7567	448.1074
3.7628	448.5255
3.7678	447.8874
3.7729	447.6906
3.7785	447.873
3.7836	447.394
3.7889	447.4693
3.7951	447.5239
3.7996	446.4211
3.8043	446.3029
3.8101	446.5965
3.8159	446.7796
3.8204	446.1526
3.8257	446.1757
3.8316	446.2177
3.8368	445.8755
3.8429	446.1288
3.8482	445.5334
3.8527	445.0349
3.8579	445.1611
3.8637	445.466
3.8689	445.0565
3.8738	444.9743
3.8797	445.0695
3.885	444.9151
3.8906	444.9142
3.8966	444.8241
3.901	443.6635
3.9056	443.4548
3.9113	443.93
3.9173	444.0697
3.922	443.1836
3.927	443.122
3.9332	443.3882
3.9382	443.0074
3.9444	443.1144
3.9496	442.5464
3.9542	442.1891
3.9593	442.3036
3.9654	442.4713
3.9704	442.0726
3.9752	441.7256
3.9807	441.9819
3.9867	441.8305
3.9926	441.7364
3.9985	441.3708
4.0033	440.5674
4.0078	440.3065
4.0134	440.7752
4.0193	440.9741
4.0239	440.12
4.0289	440.0241
4.0351	440.3165
4.0402	439.9993
4.047	440.1398
4.0522	439.0176
4.0567	438.7698
4.0615	438.7799
4.0677	439.0334
4.0729	438.7898
4.0775	438.4907
4.0829	438.5038
4.0887	438.3878
4.0942	438.2591
4.1003	438.1562
4.1049	437.5032
4.1099	437.2527
4.1153	437.4478
4.1214	437.6003
4.1262	436.8802
4.1311	436.7877
4.1374	436.9591
4.1428	436.7143
4.1491	436.7636
4.1542	435.5082
4.1586	435.0926
4.1638	435.1079
4.1695	435.3465
4.1751	435.1408
4.1802	434.7085
4.1856	434.6249
4.1913	434.2238
4.1967	434.0939
4.2033	434.1039
4.2079	433.4072
4.2127	433.3047
4.2183	433.3743
4.2244	433.4272
4.2292	433.127
4.2345	432.9499
4.2407	433.1068
4.2458	432.317
4.252	432.5777
4.2578	431.9568
4.2624	430.9662
4.2674	430.9881
4.2731	431.212
4.2788	430.8653
4.2837	430.2874
4.2894	430.3033
4.2954	430.0479
4.3008	429.804
4.3074	429.8172
4.3121	428.9811
4.3168	428.6281
4.3221	428.9093
4.3282	429.0047
4.3332	428.1724
4.3385	427.9759
4.3448	428.1335
4.3499	427.4686
4.3565	427.8482
4.3623	426.905
4.367	426.239
4.372	426.2055
4.3779	426.463
4.3838	426.1563
4.3887	425.6935
4.3943	425.6454
4.4003	425.5093
4.4059	425.3951
4.4129	425.3786
4.4179	424.1332
4.4226	423.8767
4.4281	423.9614
4.434	424.031
4.4391	423.3972
4.4443	422.8633
4.4505	423.1208
4.4558	422.3318
4.4625	422.5039
4.4686	421.6242
4.4733	421.1399
4.478	421.0076
4.484	421.2804
4.4901	421.046
4.4951	420.3265
4.5007	420.1683
4.5066	419.9847
4.5124	419.5265
4.5195	419.4354
4.5243	417.9645
4.5291	417.6121
4.5344	417.6322
4.5407	417.8251
4.5461	417.3354
4.5517	417.1584
4.5578	417.1826
4.563	416.5614
4.5697	416.7104
4.5764	415.9174
4.5811	415.0402
4.5862	414.6299
4.5923	415.3871
4.5983	414.4954
4.6035	414.0165
4.6093	413.8809
4.6153	413.3009
4.621	412.9846
4.6285	413.0276
4.6337	411.8261
4.6383	411.4723
4.6438	411.5881
4.6505	411.6502
4.6561	410.7485
4.6617	410.4146
4.668	410.262
4.6732	409.186
4.68	409.3531
4.6868	408.8627
4.6916	407.941
4.6966	407.8818
4.7027	407.9801
4.7092	407.491
4.7146	406.6354
4.7206	406.2469
4.7268	405.7988
4.7321	405.3231
4.7398	405.4031
4.7454	404.4332
4.7505	403.6832
4.7558	403.8079
4.7624	403.7704
4.7683	402.7057
4.774	402.1438
4.7805	401.9626
4.7862	400.9734
4.793	400.9052
4.8002	400.4075
4.8054	399.6162
4.8104	399.4413
4.8165	399.4794
4.8234	398.9652
4.8291	397.3817
4.8356	396.8091
4.8426	396.3563
4.8487	395.3779
4.8573	394.8226

