MTS25	Tensile stress
2.5818	379.9392
2.5867	380.3769
2.5919	380.6402
2.5956	380.274
2.6001	380.4138
2.605	380.6009
2.609	380.3912
2.6147	381.2224
2.6189	380.5977
2.6225	380.2377
2.6271	380.4742
2.6322	380.9206
2.6366	380.7209
2.6405	380.6038
2.6455	381.0288
2.6498	380.7516
2.6544	381.0998
2.6599	381.5513
2.6635	380.6315
2.6674	380.5948
2.6723	381.1148
2.6774	381.5595
2.6815	381.0941
2.6859	381.2556
2.6908	381.5395
2.6946	381.166
2.7001	382.0554
2.7045	381.5096
2.7081	380.8461
2.7126	381.2658
2.7176	381.7535
2.7222	381.7005
2.7263	381.5179
2.7313	381.9944
2.7357	381.6793
2.7403	381.7961
2.7455	382.3977
2.7492	381.5361
2.7532	381.4594
2.758	381.9495
2.7633	382.4144
2.767	381.8764
2.7715	381.9819
2.7765	382.3829
2.7806	382.145
2.7857	382.5508
2.7901	382.3741
2.7936	381.7556
2.7982	382.0553
2.8031	382.55
2.8077	382.4726
2.8116	382.2413
2.8165	382.5974
2.8212	382.5838
2.8255	382.6264
2.8308	382.8183
2.8344	382.3977
2.8385	382.2249
2.8432	382.6345
2.8482	382.8944
2.852	382.6017
2.8563	382.5981
2.8616	382.941
2.8658	382.7159
2.8709	383.1267
2.8755	382.9461
2.8791	382.6033
2.8833	382.6744
2.8885	383.0642
2.8929	383.0341
2.8968	382.7143
2.9015	382.9875
2.9064	383.2066
2.9113	383.2578
2.9162	383.3479
2.92	382.8677
2.9236	382.6931
2.9285	383.0966
2.9337	383.3504
2.9376	383.1217
2.9418	383.0111
2.9468	383.3797
2.9512	383.2717
2.9567	383.572
2.9606	383.308
2.9644	383.058
2.9684	383.0733
2.9735	383.3784
2.9783	383.425
2.9822	383.2713
2.9865	383.2907
2.9915	383.4599
2.9959	383.4544
3.0012	383.647
3.0049	383.3562
3.0088	383.2588
3.0132	383.3759
3.0185	383.694
3.0224	383.4657
3.0264	383.4123
3.0317	383.7224
3.0359	383.598
3.0412	383.8564
3.0458	383.6694
3.0491	383.4129
3.0532	383.4443
3.058	383.6689
3.0631	383.7655
3.0669	383.623
3.0713	383.6828
3.0763	383.7684
3.0805	383.7266
3.086	384.1106
3.0894	383.6927
3.0934	383.5808
3.0979	383.7204
3.1031	384.0296
3.1071	383.7949
3.1113	383.7522
3.1165	384.0708
3.1207	383.8527
3.1256	384.1295
3.1301	384.1154
3.1336	383.7533
3.1378	383.7757
3.1425	384.0368
3.1475	384.1794
3.1514	383.9658
3.156	384.0533
3.1609	384.2122
3.1652	384.131
3.1706	384.654
3.1743	384.0598
3.1778	383.8929
3.1826	384.0874
3.1876	384.4093
3.1917	384.2002
3.1959	384.1458
3.2009	384.5577
3.205	384.2007
3.2099	384.687
3.2148	384.682
3.2183	384.1414
3.2225	384.1398
3.2272	384.4212
3.2322	384.7196
3.2362	384.311
3.2405	384.4458
3.2456	384.7645
3.2496	384.5848
3.2552	385.5262
3.2589	384.6402
3.2625	384.3125
3.267	384.5617
3.2722	384.9779
3.2765	384.7676
3.2808	384.6862
3.2857	385.1107
3.2898	384.8221
3.2949	385.4879
3.2997	385.5484
3.3029	384.6794
3.3071	384.6005
3.312	385.0939
3.3171	385.6195
3.3209	384.982
3.3253	385.0555
3.3303	385.6212
3.3345	385.2874
3.3401	386.1467
3.344	385.3972
3.3477	384.8708
3.3522	385.0702
3.3575	385.941
3.3617	385.6136
3.3659	385.4717
3.3706	385.9024
3.375	385.6335
3.38	386.0568
3.3849	386.2357
3.3885	385.4751
3.3924	385.2649
3.3975	385.9117
3.4027	386.2291
3.4066	385.8232
3.4111	385.9397
3.416	386.1891
3.4197	385.9325
3.4257	386.9217
3.4295	386.1075
3.433	385.6541
3.4376	385.942
3.4431	386.5729
3.4474	386.3028
3.4516	386.1349
3.4566	386.5239
3.4606	386.1615
3.4655	386.6367
3.4709	386.9929
3.4745	386.1317
3.4784	386.0471
3.4833	386.6026
3.4887	386.9742
3.4926	386.4447
3.4971	386.6432
3.5021	386.916
3.5059	386.5696
3.5117	387.4213
3.5159	386.8885
3.5196	386.2918
3.5244	386.6239
3.5295	387.1237
3.534	386.9795
3.5381	386.8485
3.543	387.2101
3.5472	386.9566
3.552	387.2147
3.5574	387.886
3.561	386.82
3.5651	386.7063
3.5701	387.0889
3.5753	387.756
